exp,algo,batch_idx,cvr,L0
exp2_high_pressure,nsga,29,0.2869,592.6452024567534
exp2_high_pressure,nsga,30,0.2406,0.0
exp2_high_pressure,nsga,31,0.4534,408.0329526533378
exp2_high_pressure,nsga,32,0.3496,0.0
exp2_high_pressure,nsga,33,0.9696,476.5102638169992
exp2_high_pressure,nsga,34,0.6298,1675.4861791723224
exp2_high_pressure,nsga,35,0.2214,0.0
exp2_high_pressure,nsga,36,0.4366,460.17866577867426
exp2_high_pressure,nsga,37,0.2804,0.0
exp2_high_pressure,nsga,38,0.3261,64.43541755834303
exp2_high_pressure,nsga,39,0.3432,0.0
exp2_high_pressure,nsga,40,0.32,0.0
exp2_high_pressure,nsga,41,0.3051,0.0
exp2_high_pressure,nsga,42,0.3039,0.0
exp2_high_pressure,nsga,43,0.9572,359.73512086681603
exp2_high_pressure,nsga,44,0.3933,2002.0769835533965
exp2_high_pressure,nsga,45,0.2488,0.0
exp2_high_pressure,nsga,46,0.3285,0.0
exp2_high_pressure,nsga,47,0.2452,10.458882998210356
exp2_high_pressure,nsga,48,0.38,0.0
exp2_high_pressure,nsga,49,0.5218,195.86005179192398
exp2_high_pressure,nsga,50,0.2189,185.73122298387625
exp2_high_pressure,rosa,1,0.1164,0.0
exp2_high_pressure,rosa,2,0.1232,0.0
exp2_high_pressure,rosa,3,0.1179,0.0
exp2_high_pressure,rosa,4,0.1208,0.0
exp2_high_pressure,rosa,5,0.1254,273.1725614720335
exp2_high_pressure,rosa,6,0.1255,0.0
exp2_high_pressure,rosa,7,0.1235,0.0
exp2_high_pressure,rosa,8,0.1184,0.0
exp2_high_pressure,rosa,9,0.1247,0.0
exp2_high_pressure,rosa,10,0.1181,0.0
exp2_high_pressure,rosa,11,0.1571,442.96332033866383
exp2_high_pressure,rosa,12,0.1234,0.0
exp2_high_pressure,rosa,13,0.1245,0.0
exp2_high_pressure,rosa,14,0.1194,0.0
exp2_high_pressure,rosa,15,0.1336,53.21542949362083
exp2_high_pressure,rosa,16,0.1247,0.0
exp2_high_pressure,rosa,17,0.1333,0.0
exp2_high_pressure,rosa,18,0.1133,0.0
exp2_high_pressure,rosa,19,0.1284,0.0
exp2_high_pressure,rosa,20,0.1117,0.0
exp2_high_pressure,rosa,21,0.1141,0.0
exp2_high_pressure,rosa,22,0.1156,0.0
exp2_high_pressure,rosa,23,0.1124,7.28630170994802
exp2_high_pressure,rosa,24,0.1543,461.8149957018286
exp2_high_pressure,rosa,25,0.1227,0.0
exp2_high_pressure,rosa,26,0.132,0.0
exp2_high_pressure,rosa,27,0.1292,0.0
exp2_high_pressure,rosa,28,0.1516,618.1340755374058
exp2_high_pressure,rosa,29,0.1183,0.0
exp2_high_pressure,rosa,30,0.1112,0.0
exp2_high_pressure,rosa,31,0.1265,270.18258899551256
exp2_high_pressure,rosa,32,0.1308,401.42435033984566
exp2_high_pressure,rosa,33,0.121,0.0
exp2_high_pressure,rosa,34,0.13,0.0
exp2_high_pressure,rosa,35,0.1294,0.0
exp2_high_pressure,rosa,36,0.1305,0.0
exp2_high_pressure,rosa,37,0.1214,0.0
exp2_high_pressure,rosa,38,0.1438,0.0
exp2_high_pressure,rosa,39,0.109,0.0
exp2_high_pressure,rosa,40,0.1176,0.0
exp2_high_pressure,rosa,41,0.1206,0.0
exp2_high_pressure,rosa,42,0.1172,0.0
exp2_high_pressure,rosa,43,0.1227,0.0
exp2_high_pressure,rosa,44,0.1098,0.0
exp2_high_pressure,rosa,45,0.1096,0.0
exp2_high_pressure,rosa,46,0.122,0.0
exp2_high_pressure,rosa,47,0.1119,0.0
exp2_high_pressure,rosa,48,0.1262,0.0
exp2_high_pressure,rosa,49,0.1218,0.0
exp2_high_pressure,rosa,50,0.1421,0.0
