exp,algo,batch_idx,cvr,L0
exp2_high_pressure,dg,1,0.155,0.0
exp2_high_pressure,dg,2,0.1599,0.0
exp2_high_pressure,dg,3,0.1913,0.0
exp2_high_pressure,dg,4,0.1344,0.0
exp2_high_pressure,dg,5,0.1448,0.0
exp2_high_pressure,dg,6,0.1534,0.0
exp2_high_pressure,dg,7,0.1587,0.0
exp2_high_pressure,dg,8,0.1757,66.27155709390172
exp2_high_pressure,dg,9,0.1647,0.0
exp2_high_pressure,dg,10,0.1492,5.623062946868231
exp2_high_pressure,dg,11,0.1541,0.0
exp2_high_pressure,dg,12,0.1761,0.0
exp2_high_pressure,dg,13,0.1846,0.0
exp2_high_pressure,dg,14,0.16,168.66264984686495
exp2_high_pressure,dg,15,0.1785,0.0
exp2_high_pressure,dg,16,0.1883,0.0
exp2_high_pressure,dg,17,0.1461,0.0
exp2_high_pressure,dg,18,0.1598,0.0
exp2_high_pressure,dg,19,0.1576,49.5875591167478
exp2_high_pressure,dg,20,0.1533,0.0
exp2_high_pressure,dg,21,0.1476,0.0
exp2_high_pressure,dg,22,0.158,0.0
exp2_high_pressure,dg,23,0.1431,0.0
exp2_high_pressure,dg,24,0.1535,0.0
exp2_high_pressure,dg,25,0.1517,0.0
exp2_high_pressure,dg,26,0.1472,0.0
exp2_high_pressure,dg,27,0.1601,0.0
exp2_high_pressure,dg,28,0.1948,0.0
exp2_high_pressure,dg,29,0.1527,0.0
exp2_high_pressure,dg,30,0.1394,147.92298080712317
exp2_high_pressure,dg,31,0.1825,282.17642528992474
exp2_high_pressure,dg,32,0.1499,0.0
exp2_high_pressure,dg,33,0.1778,0.0
exp2_high_pressure,dg,34,0.1645,604.3911001400347
exp2_high_pressure,dg,35,0.2065,0.0
exp2_high_pressure,dg,36,0.1886,0.0
exp2_high_pressure,dg,37,0.154,0.0
exp2_high_pressure,dg,38,0.2121,468.8292294977655
exp2_high_pressure,dg,39,0.1487,0.0
exp2_high_pressure,dg,40,0.1541,0.0
exp2_high_pressure,dg,41,0.1584,0.0
exp2_high_pressure,dg,42,0.1855,0.0
exp2_high_pressure,dg,43,0.1595,0.0
exp2_high_pressure,dg,44,0.1754,858.5326747826257
exp2_high_pressure,dg,45,0.1761,0.0
exp2_high_pressure,dg,46,0.1611,0.0
exp2_high_pressure,dg,47,0.1681,0.0
exp2_high_pressure,dg,48,0.1549,0.0
exp2_high_pressure,dg,49,0.1556,0.0
exp2_high_pressure,dg,50,0.1578,0.0
exp2_high_pressure,nsga,1,0.2053,0.0
exp2_high_pressure,nsga,2,0.3519,0.0
exp2_high_pressure,nsga,3,0.2755,0.0
exp2_high_pressure,nsga,4,0.8464,835.5195424340982
exp2_high_pressure,nsga,5,0.5418,2551.9491538188804
exp2_high_pressure,nsga,6,0.4451,491.8140098238455
exp2_high_pressure,nsga,7,0.189,0.0
exp2_high_pressure,nsga,8,0.312,38.43846456697065
exp2_high_pressure,nsga,9,0.7789,309.53684303041064
exp2_high_pressure,nsga,10,0.8455,50.54193498760287
exp2_high_pressure,nsga,11,0.3487,1393.8252044591309
exp2_high_pressure,nsga,12,0.4963,221.81381374620287
exp2_high_pressure,nsga,13,0.5858,141.68814710738025
exp2_high_pressure,nsga,14,0.9803,880.2082562488677
exp2_high_pressure,nsga,15,0.5188,2128.1141748643513
exp2_high_pressure,nsga,16,0.2787,31.392313450088295
exp2_high_pressure,nsga,17,0.2803,0.0
exp2_high_pressure,nsga,18,0.6435,492.85433407853907
exp2_high_pressure,nsga,19,0.3911,424.4733146164699
exp2_high_pressure,nsga,20,0.2098,0.0
exp2_high_pressure,nsga,21,0.2566,0.0
exp2_high_pressure,nsga,22,0.28,0.0
exp2_high_pressure,nsga,23,0.2369,0.0
exp2_high_pressure,nsga,24,0.3412,0.0
exp2_high_pressure,nsga,25,0.2283,47.051661273631
exp2_high_pressure,nsga,26,0.3588,0.0
exp2_high_pressure,nsga,27,0.2626,0.0
exp2_high_pressure,nsga,28,0.9558,272.8135749264093
