exp_type,algo,cv_mean,cvr_mean,cvr_std,L0_mean,cvr_max
main,dg,0.55,0.176872,0.11806670155467205,28.26407826374581,0.6311
main,vag,0.55,0.164206,0.1078564294050197,10.780412306443532,0.6039
main,nsga,0.55,0.0032400000000000007,0.005023504752660239,0.8777723330575191,0.0287
main,rosa,0.55,0.0015400000000000004,0.0034731541860389668,0.0,0.0229
