exp,algo,batch_idx,cvr,L0
exp1_moderate,rosa,20,0.477,148.35868022924683
exp1_moderate,rosa,21,0.2634,0.0
exp1_moderate,rosa,22,0.1045,14.28686846786286
exp1_moderate,rosa,23,0.1592,0.0
exp1_moderate,rosa,24,0.1831,125.37607230599315
exp1_moderate,rosa,25,0.0559,0.0
exp1_moderate,rosa,26,0.0713,0.0
exp1_moderate,rosa,27,0.1902,0.0
exp1_moderate,rosa,28,0.0948,16.011544379417046
exp1_moderate,rosa,29,0.066,0.0
exp1_moderate,rosa,30,0.148,0.0
exp1_moderate,rosa,31,0.2855,138.93276495407986
exp1_moderate,rosa,32,0.3211,0.0
exp1_moderate,rosa,33,0.2788,132.11120042574237
exp1_moderate,rosa,34,0.032,0.0
exp1_moderate,rosa,35,0.046,0.0
exp1_moderate,rosa,36,0.08,0.0
exp1_moderate,rosa,37,0.2103,0.0
exp1_moderate,rosa,38,0.0389,0.0
exp1_moderate,rosa,39,0.1239,0.0
exp1_moderate,rosa,40,0.152,0.0
exp1_moderate,rosa,41,0.1101,0.0
exp1_moderate,rosa,42,0.0666,0.0
exp1_moderate,rosa,43,0.0619,0.0
exp1_moderate,rosa,44,0.1359,0.0
exp1_moderate,rosa,45,0.1801,0.0
exp1_moderate,rosa,46,0.1607,0.0
exp1_moderate,rosa,47,0.0716,5.684400551068848
exp1_moderate,rosa,48,0.1132,0.0
exp1_moderate,rosa,49,0.0642,0.0
exp1_moderate,rosa,50,0.2189,0.0
