exp_type,algo,cv_mean,cvr_mean,cvr_std,L0_mean,cvr_max
cv_sensitivity,dg,0.25,0.054953333333333326,0.09346787231747362,0.3969724214158229,0.3802
cv_sensitivity,vag,0.25,0.042690000000000006,0.0879171138061299,1.25751870323921,0.3566
cv_sensitivity,nsga,0.25,0.0,0.0,0.0,0.0
cv_sensitivity,rosa,0.25,0.0,0.0,0.0,0.0
cv_sensitivity,dg,0.4,0.12287000000000002,0.1307294283370555,3.4408052595743586,0.4904
cv_sensitivity,vag,0.4,0.10997333333333334,0.09774166608406515,3.948596683222604,0.4017
cv_sensitivity,nsga,0.4,0.00014666666666666664,0.0003499841266241783,0.0,0.0017
cv_sensitivity,rosa,0.4,5.666666666666667e-05,0.00017065234314893606,0.0,0.0009
cv_sensitivity,dg,0.55,0.18482999999999997,0.09761923358983447,11.46111766733004,0.4269
cv_sensitivity,vag,0.55,0.20760000000000003,0.0963433097486968,24.653202081982947,0.3638
cv_sensitivity,nsga,0.55,0.0038899999999999994,0.004060652656901351,0.0,0.0139
cv_sensitivity,rosa,0.55,0.0018233333333333333,0.0020755213535131093,0.0,0.0071
cv_sensitivity,dg,0.7,0.25469666666666674,0.12522737582316237,18.688708838719062,0.5431
cv_sensitivity,vag,0.7,0.25165,0.11973332521343698,9.132070993092187,0.5247
cv_sensitivity,nsga,0.7,0.022523333333333333,0.026848174156831512,7.041567553954011,0.1157
cv_sensitivity,rosa,0.7,0.015143333333333333,0.0182889161941203,0.0,0.0708
cv_sensitivity,dg,0.85,0.3605,0.13661469906272897,42.883452624095,0.6555
cv_sensitivity,vag,0.85,0.3563099999999999,0.12153312401700753,47.63087310890357,0.5509
cv_sensitivity,nsga,0.85,0.07018333333333333,0.04801130480302414,5.720007293750101,0.1827
cv_sensitivity,rosa,0.85,0.057203333333333335,0.04395767269645755,0.15096678836612226,0.1569
